lat,lon,risk,row,col
1118223.3428608703,650129.469215034,1.0,413,1319
1118223.3428608703,650139.469215034,1.0,413,1320
1118223.3428608703,650149.469215034,1.0,413,1321
1118223.3428608703,650159.469215034,1.0,413,1322
1118223.3428608703,650169.469215034,1.0,413,1323
1118223.3428608703,650179.469215034,1.0,413,1324
1118223.3428608703,650189.469215034,1.0,413,1325
1118223.3428608703,650199.469215034,1.0,413,1326
1118223.3428608703,650209.469215034,1.0,413,1327
1118223.3428608703,650219.469215034,1.0,413,1328
1118223.3428608703,650229.469215034,1.0,413,1329
1118223.3428608703,650239.469215034,1.0,413,1330
1118223.3428608703,650249.469215034,1.0,413,1331
1118213.3428608703,650039.469215034,1.0,414,1310
1118213.3428608703,650049.469215034,1.0,414,1311
1118213.3428608703,650059.469215034,1.0,414,1312
1118213.3428608703,650069.469215034,1.0,414,1313
1118213.3428608703,650079.469215034,1.0,414,1314
1118213.3428608703,650089.469215034,1.0,414,1315
1118213.3428608703,650119.469215034,1.0,414,1318
1118213.3428608703,650129.469215034,1.0,414,1319
1118213.3428608703,650139.469215034,1.0,414,1320
1118213.3428608703,650149.469215034,1.0,414,1321
1118213.3428608703,650159.469215034,1.0,414,1322
1118213.3428608703,650169.469215034,1.0,414,1323
1118213.3428608703,650179.469215034,1.0,414,1324
1118213.3428608703,650189.469215034,1.0,414,1325
1118213.3428608703,650199.469215034,1.0,414,1326
1118213.3428608703,650209.469215034,1.0,414,1327
1118213.3428608703,650219.469215034,1.0,414,1328
1118213.3428608703,650229.469215034,1.0,414,1329
1118213.3428608703,650239.469215034,1.0,414,1330
1118203.3428608703,650049.469215034,1.0,415,1311
1118203.3428608703,650059.469215034,1.0,415,1312
1118203.3428608703,650069.469215034,1.0,415,1313
1118203.3428608703,650079.469215034,1.0,415,1314
1118203.3428608703,650099.469215034,1.0,415,1316
1118203.3428608703,650109.469215034,1.0,415,1317
1118203.3428608703,650119.469215034,1.0,415,1318
1118203.3428608703,650129.469215034,1.0,415,1319
1118203.3428608703,650139.469215034,1.0,415,1320
1118203.3428608703,650149.469215034,1.0,415,1321
1118203.3428608703,650159.469215034,1.0,415,1322
1118203.3428608703,650169.469215034,1.0,415,1323
1118203.3428608703,650179.469215034,1.0,415,1324
1118203.3428608703,650189.469215034,1.0,415,1325
1118203.3428608703,650199.469215034,1.0,415,1326
1118203.3428608703,650209.469215034,1.0,415,1327
1118203.3428608703,650219.469215034,1.0,415,1328
1118203.3428608703,650229.469215034,1.0,415,1329
1116633.3428608703,647369.469215034,1.0,572,1043
1116623.3428608703,647369.469215034,1.0,573,1043
1116313.3428608703,640989.469215034,1.0,604,405
1116313.3428608703,641589.469215034,1.0,604,465
1116313.3428608703,641599.469215034,1.0,604,466
1116303.3428608703,641599.469215034,1.0,605,466
1116303.3428608703,647189.469215034,1.0,605,1025
1116303.3428608703,647199.469215034,1.0,605,1026
1116303.3428608703,647209.469215034,1.0,605,1027
1116293.3428608703,641589.469215034,1.0,606,465
1116293.3428608703,641599.469215034,1.0,606,466
1116293.3428608703,647189.469215034,1.0,606,1025
1116293.3428608703,647199.469215034,1.0,606,1026
1116293.3428608703,647209.469215034,1.0,606,1027
1116283.3428608703,647189.469215034,1.0,607,1025
1116283.3428608703,647199.469215034,1.0,607,1026
1116283.3428608703,647209.469215034,1.0,607,1027
1116033.3428608703,646829.469215034,1.0,632,989
1115903.3428608703,637149.469215034,1.0,645,21
1115903.3428608703,637159.469215034,1.0,645,22
1115903.3428608703,637169.469215034,1.0,645,23
1115893.3428608703,637149.469215034,1.0,646,21
1115893.3428608703,637159.469215034,1.0,646,22
1115893.3428608703,637169.469215034,1.0,646,23
1115893.3428608703,640639.469215034,1.0,646,370
1115893.3428608703,640649.469215034,1.0,646,371
1115883.3428608703,637159.469215034,1.0,647,22
1115883.3428608703,637169.469215034,1.0,647,23
1115883.3428608703,640629.469215034,1.0,647,369
1115883.3428608703,640639.469215034,1.0,647,370
1115883.3428608703,640649.469215034,1.0,647,371
1115873.3428608703,640629.469215034,1.0,648,369
1115873.3428608703,640639.469215034,1.0,648,370
1115873.3428608703,640649.469215034,1.0,648,371
1115863.3428608703,640629.469215034,1.0,649,369
1115863.3428608703,640639.469215034,1.0,649,370
1115863.3428608703,640649.469215034,1.0,649,371
1115853.3428608703,640629.469215034,1.0,650,369
1115853.3428608703,640639.469215034,1.0,650,370
1115853.3428608703,640649.469215034,1.0,650,371
1115843.3428608703,640629.469215034,1.0,651,369
1115843.3428608703,640639.469215034,1.0,651,370
1115843.3428608703,640649.469215034,1.0,651,371
1115843.3428608703,646329.469215034,1.0,651,939
1115843.3428608703,646339.469215034,1.0,651,940
1115833.3428608703,640629.469215034,1.0,652,369
1115833.3428608703,640639.469215034,1.0,652,370
1115833.3428608703,640649.469215034,1.0,652,371
1115833.3428608703,646329.469215034,1.0,652,939
1115833.3428608703,646339.469215034,1.0,652,940
1115833.3428608703,646349.469215034,1.0,652,941
1115823.3428608703,640629.469215034,1.0,653,369
1115823.3428608703,640639.469215034,1.0,653,370
1115823.3428608703,640649.469215034,1.0,653,371
1115813.3428608703,640629.469215034,1.0,654,369
1115813.3428608703,640639.469215034,1.0,654,370
1115813.3428608703,640649.469215034,1.0,654,371
1115803.3428608703,640629.469215034,1.0,655,369
1115803.3428608703,640639.469215034,1.0,655,370
1115803.3428608703,640649.469215034,1.0,655,371
1115793.3428608703,640629.469215034,1.0,656,369
1115793.3428608703,640639.469215034,1.0,656,370
1115793.3428608703,640649.469215034,1.0,656,371
1115783.3428608703,640629.469215034,1.0,657,369
1115783.3428608703,640639.469215034,1.0,657,370
1115773.3428608703,640629.469215034,1.0,658,369
1115773.3428608703,640639.469215034,1.0,658,370
1115763.3428608703,640629.469215034,1.0,659,369
1115763.3428608703,640639.469215034,1.0,659,370
1115753.3428608703,640629.469215034,1.0,660,369
1115753.3428608703,640639.469215034,1.0,660,370
1115653.3428608703,637919.469215034,1.0,670,98
1115653.3428608703,637929.469215034,1.0,670,99
1115633.3428608703,637919.469215034,1.0,672,98
1115553.3428608703,640629.469215034,1.0,680,369
1115543.3428608703,640629.469215034,1.0,681,369
1115533.3428608703,640629.469215034,1.0,682,369
1115523.3428608703,640629.469215034,1.0,683,369
1115513.3428608703,637949.469215034,1.0,684,101
1115513.3428608703,637959.469215034,1.0,684,102
1115513.3428608703,637969.469215034,1.0,684,103
1115513.3428608703,640629.469215034,1.0,684,369
1115503.3428608703,637929.469215034,1.0,685,99
1115503.3428608703,637939.469215034,1.0,685,100
1115503.3428608703,637949.469215034,1.0,685,101
1115503.3428608703,637959.469215034,1.0,685,102
1115503.3428608703,637969.469215034,1.0,685,103
1115503.3428608703,640629.469215034,1.0,685,369
1115493.3428608703,637909.469215034,1.0,686,97
1115493.3428608703,637919.469215034,1.0,686,98
1115493.3428608703,637929.469215034,1.0,686,99
1115493.3428608703,637939.469215034,1.0,686,100
1115493.3428608703,637949.469215034,1.0,686,101
1115493.3428608703,637959.469215034,1.0,686,102
1115493.3428608703,637969.469215034,1.0,686,103
1115493.3428608703,637979.469215034,1.0,686,104
1115493.3428608703,640629.469215034,1.0,686,369
1115483.3428608703,637859.469215034,1.0,687,92
1115483.3428608703,637889.469215034,1.0,687,95
1115483.3428608703,637899.469215034,1.0,687,96
1115483.3428608703,637919.469215034,1.0,687,98
1115483.3428608703,637929.469215034,1.0,687,99
1115483.3428608703,637939.469215034,1.0,687,100
1115483.3428608703,637949.469215034,1.0,687,101
1115483.3428608703,637959.469215034,1.0,687,102
1115483.3428608703,637969.469215034,1.0,687,103
1115483.3428608703,637979.469215034,1.0,687,104
1115483.3428608703,637989.469215034,1.0,687,105
1115483.3428608703,637999.469215034,1.0,687,106
1115483.3428608703,640629.469215034,1.0,687,369
1115473.3428608703,637859.469215034,1.0,688,92
1115473.3428608703,637869.469215034,1.0,688,93
1115473.3428608703,637879.469215034,1.0,688,94
1115473.3428608703,637899.469215034,1.0,688,96
1115473.3428608703,637949.469215034,1.0,688,101
1115473.3428608703,637959.469215034,1.0,688,102
1115473.3428608703,637969.469215034,1.0,688,103
1115473.3428608703,637979.469215034,1.0,688,104
1115473.3428608703,637989.469215034,1.0,688,105
1115473.3428608703,637999.469215034,1.0,688,106
1115473.3428608703,640629.469215034,1.0,688,369
1115463.3428608703,637999.469215034,1.0,689,106
1115463.3428608703,640629.469215034,1.0,689,369
